tticket	order_id	city_id	price	local_create_time	compensate_customer_type	operate_type	status	channel	reason	coupon_info	business_unit	business_type	cate_name
t360287970370327901	87973739275475	52140500	15.0	2021-01-23 03:30:06	2	1	2	520000004	1246			21	Viaje irregular
t360287970364216493	87973457132935	52310300	52.3	2021-01-09 06:36:40	1	7	2	520000001	264			23	Viaje irregular
t360287970372283826	87973826996189	52310300	99.0	2021-01-27 13:35:07	1	7	2	520000001	266			2114	Viaje irregular
t360287970379891414	87974172133943	52090100	289.8	2021-02-12 07:58:31	1	7	2	520000001	266			2114	Viaje irregular
t360287970362699662	87973388692125	52151600	20.0	2021-01-05 17:33:40	2	1	2	520000001	1246			21	Viaje irregular
t360287970369549256	87973608104398	52260200	99.76	2021-01-21 11:25:09	2	1	2	520000001	1234			21	Viaje irregular
t360287970377577176	87974073486475	52090100	48.6	2021-02-07 18:37:58	1	7	2	520000001	268			2114	Viaje irregular
t360287970369564544	87973702768172	52210400	5.37	2021-01-28 15:45:18	2	1	1	520000001	2070			2068	Viaje irregular
t360287970368032753	87973634125670	52190500	137.64	2021-01-17 20:54:33	2	1	1	520000001	1234			21	Viaje irregular
t360287970366009818	87973539332138	52151600	39.56	2021-01-13 10:04:26	2	1	1	520000001	2070			21	Viaje irregular
t360287970362691499	87973387714796	52190500	46.6	2021-01-05 16:39:35	1	7	2	520000001	268			23	Viaje irregular
t360287970373507612	87973814301136	52190500	168.89	2021-02-01 12:39:53	2	1	2	960000106	722			21	Viaje irregular
t360287970363161590	87973401846204	52090100	49.89	2021-01-06 20:21:06	2	1	2	520000001	1234			21	Viaje irregular
t360287970371881087	87973810526763	52090100	28.0	2021-01-26 15:08:23	1	7	2	520000001	264			2114	Viaje irregular
t360287970364612156	87973477729040	52151600	30.2	2021-01-10 02:04:13	1	7	2	520000001	266			23	Viaje irregular
t360287970365265741	87973508382549	52090100	49.4	2021-01-11 15:05:45	1	7	2	520000001	266			23	Viaje irregular
t360287970364905645	87973490815497	52090100	93.4	2021-01-10 18:13:34	1	7	2	520000001	266			23	Viaje irregular
t360287970372470729	87973834894716	52090100	52.9	2021-01-27 21:50:08	1	7	2	520000001	268			2114	Viaje irregular
t360287970364467921	87973469878189	52140500	121.6	2021-01-09 17:08:36	1	7	2	520000001	268			23	Viaje irregular
t360287970380476429	87974200191614	52090100	182.0	2021-02-13 10:11:11	1	7	2	520000001	268			2114	Viaje irregular
t360287970367195763	87973594680351	52090100	60.45	2021-01-23 10:20:05	2	1	2	520000001	1234			21	Viaje irregular
t360287970361747031	87973347093774	52090100	65.8	2021-01-03 12:52:15	1	7	2	520000001	268			23	Viaje irregular
t360287970376608173	87974019747004	52090100	10.11	2021-02-10 09:53:16	2	1	1	520000001	716			21	Viaje irregular
t360287970373368633	87973878531973	52190500	7.66	2021-01-29 21:43:02	2	1	1	520000001	2070			2062	Viaje irregular
t360287970373828393	87973901734699	52090100	32.0	2021-02-03 09:31:31	2	1	2	520000001	1234			21	Viaje irregular
t360287970379196998	87974136198506	52151600	120.88	2021-02-10 20:22:00	2	1	2	520000001	716			21	Viaje irregular
t360287970376376395	87974017156932	52210400	41.29	2021-02-05 13:12:25	1	7	2	520000001	268			2114	Viaje irregular
t360287970362824540	87973393126491	52090100	30.0	2021-01-06 01:31:00	1	7	2	520000001	268			23	Viaje irregular
t360287970367932893	87973630309581	52090100	30.0	2021-01-17 16:09:58	1	7	2	520000001	266			23	Viaje irregular
t360287970366246905	87973550398724	52151600	18.0	2021-01-13 18:09:15	1	7	2	520000001	268			23	Viaje irregular
t360287970376641527	87974029306335	52090100	1.99	2021-02-05 21:26:29	2	1	2	520000001	1234			21	Viaje irregular
t360287970366304227	87973540690988	52090100	349.61	2021-01-19 09:07:33	2	1	1	520000001	1236			21	Viaje irregular
t360287970372015257	87973815704863	52080200	2.76	2021-01-26 20:59:46	2	1	1	520000001	2070			21	Viaje irregular
t360287970361930127	87973354810474	52090100	462.0	2021-01-03 20:47:47	1	7	2	520000001	268			23	Viaje irregular
t360287970373118662	87973867108087	52190500	81.54	2021-01-29 13:43:32	2	1	1	520000001	2070			21	Viaje irregular
t360287970365388985	87973514076220	52280200	168.68	2021-01-15 14:49:22	2	1	1	520000001	1236			21	Viaje irregular
t360287970366332496	87973553374387	52140500	63.7	2021-01-13 22:34:38	1	7	2	520000001	268			23	Viaje irregular
t360287970361913993	87973353696430	52090100	35.3	2021-01-03 19:26:23	1	7	2	520000001	266			23	Viaje irregular
t360287970362748136	87973389616069	52280300	27.4	2021-01-05 18:31:51	1	7	2	520000001	268			23	Viaje irregular
t360287970371406975	87973791026423	52090100	120.0	2021-01-25 14:56:47	1	7	2	520000001	268			2114	Viaje irregular
t360287970364669365	87973480765616	52280200	311.37	2021-01-13 08:33:25	2	1	2	520000001	1236			21	Viaje irregular
t360287970380144918	87974182807338	52310300	6.98	2021-02-12 15:53:56	2	1	2	520000001	1234			21	Viaje irregular
t360287970369504927	87973702848990	52090100	30.0	2021-01-21 09:53:05	1	7	2	520000001	268			2114	Viaje irregular
t360287970372215201	87973822246948	52190500	42.82	2021-01-31 15:58:31	2	1	1	520000001	716			21	Viaje irregular
t360287970366223967	87973550054415	52210400	78.6	2021-01-13 17:45:15	1	7	2	520000001	266			23	Viaje irregular
t360287970378411759	87974110566109	52310300	22.3	2021-02-09 11:20:18	1	7	2	520000001	436			2114	Viaje irregular
t360287970367003854	87973584894489	52210400	50.1	2021-01-15 13:50:36	1	7	2	520000001	268			23	Viaje irregular
t360287970373589467	87973890363738	52190500	56.4	2021-01-30 12:42:16	1	7	2	520000001	268			2114	Viaje irregular
t360287970377197754	87974055395836	52090100	58.0	2021-02-07 12:04:37	2	1	3	520000004	724			21	Viaje irregular
t360287970366304227	87973540690988	52090100	349.61	2021-01-19 09:07:33	2	1	2	520000001	1236			21	Viaje irregular
t360287970365388985	87973514076220	52280200	168.68	2021-01-15 14:49:22	2	1	2	520000001	1236			21	Viaje irregular
t360287970380766084	87974212969753	52090100	30.0	2021-02-13 19:01:14	1	7	2	520000001	268			2114	Viaje irregular
t360287970375062288	87973960055919	52090100	285.03	2021-02-02 18:18:30	1	7	2	520000001	268			2114	Viaje irregular
t360287970361579727	87973338836562	52151600	116.1	2021-01-02 21:18:06	1	7	2	520000001	266			23	Viaje irregular
t360287970364585185	87973476151928	52190500	71.3	2021-01-09 22:38:22	1	7	2	520000001	268			23	Viaje irregular
t360287970370521921	87973746857380	52180200	469.75	2021-01-27 08:35:34	2	1	1	520000001	1236			21	Viaje irregular
t360287970373118662	87973867108087	52190500	81.54	2021-01-29 13:43:38	2	1	1	520000001	2070			21	Viaje irregular
t360287970363088987	87973398167654	52170200	89.25	2021-01-07 09:45:26	2	1	1	520000001	1236			21	Viaje irregular
t360287970373507612	87973814301136	52190500	168.89	2021-02-01 12:39:53	2	1	1	960000106	722			21	Viaje irregular
t360287970369973216	87973722012197	52110400	25.0	2021-01-22 09:00:04	2	1	1	520000001	2070			21	Viaje irregular
t360287970361769035	87973347904685	52140500	102.08	2021-01-03 14:05:57	2	1	1	520000001	1234			2068	Viaje irregular
t360287970380164132	87974180906054	52090100	23.0	2021-02-12 16:10:26	2	1	2	520000001	1246			21	Viaje irregular
t360287970379588544	87974158702646	52220400	23279.5	2021-02-11 15:12:55	1	7	2	520000001	266			2114	Viaje irregular
t360287970380772649	87974212492604	52090100	98.18	2021-02-13 19:20:36	1	7	2	520000001	268			2114	Viaje irregular
t360287970376101904	87974003853868	52110500	47.23	2021-02-04 20:59:12	1	7	2	520000001	268			2114	Viaje irregular
t360287970361959415	87973356540994	52020200	254.65	2021-01-28 18:55:26	2	1	1	520000001	1234			21	Viaje irregular
t360287970362264979	87973367756294	52090100	47.26	2021-01-04 16:56:18	1	7	2	520000001	266			23	Viaje irregular
t360287970374795426	87973948891883	52080200	81.6	2021-02-02 07:40:35	1	7	2	520000001	266			2114	Viaje irregular
t360287970362757723	87973390344280	52090100	35.1	2021-01-05 19:13:48	1	7	2	520000001	266			23	Viaje irregular
t360287970367114123	87973590718996	52090100	45.5	2021-01-15 18:01:51	2	1	1	520000001	1234			2062	Viaje irregular
t360287970377423233	87974066354870	52140500	43.26	2021-02-07 12:48:14	2	1	2	520000001	722			21	Viaje irregular
t360287970379226279	87974143438591	52090100	34.41	2021-02-10 21:55:09	2	1	1	520000001	1234			21	Viaje irregular
t360287970364358617	87973450709108	52090100	40.0	2021-01-09 12:54:22	2	1	2	520000001	722			21	Viaje irregular
t360287970369237958	87973690265238	52090100	95.32	2021-01-20 16:12:06	1	7	2	520000001	268			2114	Viaje irregular
t360287970364748729	87973483445015	52090100	49.78	2021-01-21 13:25:10	2	1	2	520000001	1234			21	Viaje irregular
t360287970374958995	87973955151159	52140500	30.0	2021-02-02 14:09:46	2	1	2	520000001	1246			21	Viaje irregular
t360287970365592852	87973521286718	52210400	218.75	2021-01-15 11:33:30	2	1	2	520000001	1236			2056	Viaje irregular
t360287970364669365	87973480765616	52280200	311.37	2021-01-13 08:33:25	2	1	1	520000001	1236			21	Viaje irregular
t360287970369723680	87973710080795	52190500	16.0	2021-01-21 16:09:43	2	1	1	520000001	2070			21	Viaje irregular
t360287970374195872	87973918687797	52210400	51.54	2021-01-31 18:47:09	2	1	1	520000001	1234			21	Viaje irregular
t360287970365774206	87973530659777	52090100	45.54	2021-01-12 17:40:13	2	1	2	520000001	1234			21	Viaje irregular
t360287970380325550	87974191912429	52110200	2093.64	2021-02-12 23:09:47	1	7	2	520000001	268			2114	Viaje irregular
t360287970364177228	87973432345222	52190500	137.05	2021-01-09 00:37:38	2	1	2	520000001	1244			21	Viaje irregular
t360287970368358503	87973651183053	52020200	93.8	2021-01-18 14:21:46	1	7	2	520000001	268			23	Viaje irregular
t360287970379737428	87974165090862	52170200	30.39	2021-02-11 20:44:46	1	7	2	520000001	268			2114	Viaje irregular
t360287970365705333	87973526181818	52280200	459.82	2021-01-16 11:23:26	2	1	1	520000001	1236			21	Viaje irregular
t360287970370521921	87973746857380	52180200	469.75	2021-01-27 08:35:34	2	1	2	520000001	1236			21	Viaje irregular
t360287970375928352	87973996066644	52210400	21.73	2021-02-04 14:50:20	2	1	1	520000001	2070			21	Viaje irregular
t360287970368240140	87973644999421	52090100	47.0	2021-01-18 11:14:50	1	7	2	520000001	266			23	Viaje irregular
t360287970375453128	87973975954296	52110500	75.7	2021-02-03 14:19:09	1	7	2	520000001	266			2114	Viaje irregular
t360287970373118662	87973867108087	52190500	81.54	2021-01-29 13:45:57	2	1	1	520000001	2070			21	Viaje irregular
t360287970380917114	87974221519806	52090100	84.3	2021-02-14 07:29:01	1	7	2	520000001	266			2114	Viaje irregular
t360287970373133185	87973864269376	52220400	103.0	2021-01-29 11:21:30	1	7	2	520000001	266			2114	Viaje irregular
t360287970368022731	87973635647607	52090100	277.6	2021-01-17 21:29:37	1	7	2	520000001	266			23	Viaje irregular
t360287970361571611	87973340109041	52170200	65.9	2021-01-02 21:43:49	1	7	2	520000001	268			23	Viaje irregular
t360287970365560432	87973521362416	52090100	84.68	2021-01-12 09:56:12	2	1	1	520000001	2070			21	Viaje irregular
t360287970379564821	87974157850219	52020200	44.24	2021-02-11 14:46:48	2	1	2	520000001	1234			21	Viaje irregular
t360287970364165564	87973447583357	52280400	243.01	2021-01-11 07:56:17	2	1	2	520000001	1236			21	Viaje irregular
t360287970366950492	87973578997554	52140500	48.17	2021-01-15 11:48:03	2	1	1	520000001	2070			21	Viaje irregular
t360287970365816472	87973529928475	52090100	189.0	2021-01-13 01:25:54	2	1	2	520000002	726			21	Viaje irregular
t360287970362619107	87973439359472	52140500	25.0	2021-01-08 11:25:21	2	1	2	520000002	1246			21	Viaje irregular
t360287970370930378	87973768553750	52090100	43.0	2021-01-24 13:07:36	2	1	2	520000001	1234			2056	Viaje irregular
t360287970361507283	87973336736065	52210400	45.1	2021-01-02 17:51:52	1	7	2	520000001	266			23	Viaje irregular
t360287970365309222	87973321024159	52090100	49.03	2021-01-11 17:56:19	2	1	2	520000001	722			21	Viaje irregular
t360287970364188224	87973455115301	52190500	40.0	2021-01-09 02:58:26	1	7	2	520000001	268			23	Viaje irregular
t360287970364319095	87973462526970	52090100	201.1	2021-01-09 11:22:14	1	7	2	520000001	266			23	Viaje irregular
t360287970364415916	87973466398935	52090100	180.8	2021-01-09 14:58:45	1	7	2	520000001	266			23	Viaje irregular
t360287970377339108	87974059485365	52190500	1193.66	2021-02-11 18:06:23	2	1	1	520000001	1236			21	Viaje irregular
t360287970373720402	87973894889036	52210400	20.0	2021-01-30 16:25:03	2	1	2	520000001	1246			21	Viaje irregular
t360287970375335590	87973973078558	52140500	33.0	2021-02-03 11:53:25	1	7	2	520000001	268			2114	Viaje irregular
t360287970374682455	87973942336734	52210400	27.0	2021-02-01 21:41:23	1	7	2	520000001	266			2114	Viaje irregular
t360287970365862588	87973532273892	52090100	132.99	2021-01-12 20:34:09	2	1	1	520000001	2070			21	Viaje irregular
t360287970375354891	87973971657098	52220400	35.0	2021-02-03 11:36:05	2	1	1	520000001	2070			21	Viaje irregular
t360287970362792908	87973391585433	52140500	158.6	2021-01-05 21:58:51	1	7	2	520000001	266			23	Viaje irregular
t360287970374652124	87973939820815	52090100	54.72	2021-02-01 18:46:36	2	1	1	520000001	2070			21	Viaje irregular
t360287970369740406	87973711359947	52080800	35.4	2021-01-21 16:07:07	1	7	2	520000001	268			2114	Viaje irregular
t360287970381009831	87974214142517	52080800	22.11	2021-02-14 10:51:04	2	1	1	520000001	2070			21	Viaje irregular
t360287970367757515	87973624035215	52090100	28.0	2021-01-17 09:44:19	1	7	2	520000001	268			23	Viaje irregular
t360287970380984770	87974223942669	52090100	35.8	2021-02-14 10:22:58	1	7	2	520000001	264			2114	Viaje irregular
t360287970375016855	87973958316953	52190500	107.3	2021-02-02 16:23:18	1	7	2	520000001	268			2114	Viaje irregular
t360287970378339107	87974108021357	52020200	30.5	2021-02-09 07:09:35	1	7	2	520000001	268			2114	Viaje irregular
t360287970367212202	87973595708417	52220400	30.0	2021-01-15 22:46:46	2	1	2	520000001	1246			21	Viaje irregular
t360287970373054517	87973862631372	52210400	46.68	2021-01-29 09:20:01	2	1	2	520000001	1234			21	Viaje irregular
t360287970371112052	87973775795553	52210400	55.8	2021-01-24 19:14:02	1	7	2	520000001	268			2114	Viaje irregular
t360287970368912754	87973675815284	52140500	76.6	2021-01-19 22:55:35	1	7	2	520000001	268			23	Viaje irregular
t360287970361853922	87973303281403	52151600	537.77	2021-01-03 18:36:49	2	1	1	520000001	722			21	Viaje irregular
t360287970366695301	87973165542803	52220400	183.41	2021-01-14 20:01:01	2	1	1	520000001	722			21	Viaje irregular
t360287970364697542	87973482714700	52210400	36.2	2021-01-10 10:15:28	1	7	2	520000001	268			23	Viaje irregular
t360287970361581606	87973339961602	52250100	26.7	2021-01-02 20:38:43	1	7	2	520000001	268			23	Viaje irregular
t360287970368628244	87973662181774	52090100	283.63	2021-01-24 09:17:20	2	1	1	520000001	1236			21	Viaje irregular
t360287970370928269	87973768432068	52090100	39.0	2021-01-24 12:28:21	1	7	2	520000001	266			2114	Viaje irregular
t360287970374046439	87973903796930	52140500	69.26	2021-02-04 16:01:52	2	1	2	520000001	1234			21	Viaje irregular
t360287970380101128	87974180533356	52090100	109.0	2021-02-12 14:19:54	1	7	2	520000001	264			2114	Viaje irregular
t360287970361425646	87973333713123	52140500	116.8	2021-01-02 14:44:35	1	7	2	520000001	268			23	Viaje irregular
t360287970367900317	87973629095761	52090100	36.0	2021-01-17 15:08:41	1	7	2	520000001	266			23	Viaje irregular
t360287970369343723	87973694180396	52020200	20.0	2021-01-20 19:58:50	2	1	2	520000001	1246			2062	Viaje irregular
t360287970369776002	87973713462967	52110200	85.35	2021-01-21 21:46:58	2	1	2	520000004	1234			21	Viaje irregular
t360287970380278828	87974189814556	52090100	102.8	2021-02-12 20:18:15	1	7	2	520000003	268			2114	Viaje irregular
t360287970364588104	87973475913180	52090100	30.0	2021-01-09 22:03:55	1	7	2	520000001	268			23	Viaje irregular
t360287970372877181	87973850061587	52280200	26.34	2021-02-04 08:21:17	2	1	2	520000001	1236			21	Viaje irregular
t360287970361442084	87973333716917	52020200	152.1	2021-01-02 12:37:36	1	7	2	520000001	268			23	Viaje irregular
t360287970369341421	87973692735477	52090100	15.35	2021-01-20 18:41:59	2	1	1	520000001	2070			21	Viaje irregular
t360287970361662256	87973343141448	52090100	124.7	2021-01-03 06:02:49	1	7	2	520000001	268			23	Viaje irregular
t360287970363162260	87973406883991	52020200	39.6	2021-01-06 14:45:31	1	7	2	520000001	268			23	Viaje irregular
t360287970372877181	87973850061587	52280200	26.34	2021-02-04 08:21:17	2	1	1	520000001	1236			21	Viaje irregular
t360287970379011898	87974133351951	52190500	52.3	2021-02-10 13:11:29	1	7	2	520000001	268			2114	Viaje irregular
t360287970361959415	87973356540994	52020200	200.0	2021-01-04 02:30:21	2	1	1	520000001	1244			21	Viaje irregular
t360287970373380836	87973877934668	52080200	30.0	2021-01-29 20:34:41	2	1	1	520000001	1248			2068	Viaje irregular
t360287970371926636	87973793423387	52090100	32.12	2021-01-26 15:44:05	2	1	2	520000001	1234			21	Viaje irregular
t360287970368369711	87973651220344	52090100	30.9	2021-01-18 16:07:22	1	7	2	520000001	268			23	Viaje irregular
t360287970379782972	87974166224282	52080800	60.8	2021-02-11 22:19:03	1	7	2	520000001	264			2114	Viaje irregular
t360287970376572768	87974025604704	52110200	32.7	2021-02-05 18:07:08	1	7	2	520000001	266			2114	Viaje irregular
t360287970361598200	87973340239191	52090100	36.4	2021-01-02 22:02:40	1	7	2	520000001	268			23	Viaje irregular
t360287970373339029	87973873995433	52220400	26.55	2021-01-29 19:32:51	2	1	2	520000001	1234			21	Viaje irregular
t360287970374199807	87973920671585	52210400	45.3	2021-01-31 19:59:15	1	7	2	520000001	268			2114	Viaje irregular
t360287970378534230	87974114386041	52090100	100.3	2021-02-09 14:39:15	1	7	2	520000001	266			2114	Viaje irregular
t360287970373056757	87973861445772	52110500	88.6	2021-01-29 09:41:28	2	1	2	520000001	2070			21	Viaje irregular
t360287970375114748	87973962102820	52090100	205.54	2021-02-02 20:09:04	1	7	2	520000001	268			2114	Viaje irregular
t360287970366676981	87973169755252	52220400	183.41	2021-01-14 18:30:18	2	1	3	520000001	1234			21	Viaje irregular
t360287970364500862	87973471471068	52210400	44.0	2021-01-09 18:09:11	1	7	2	520000001	268			23	Viaje irregular
t360287970375531856	87973978048049	52151600	75.4	2021-02-03 17:25:55	1	7	2	520000001	268			2114	Viaje irregular
t360287970373388472	87973878209722	52190500	144.7	2021-01-29 21:50:16	1	7	2	520000001	262			2114	Viaje irregular
t360287970366990208	87973583526777	52140500	50.29	2021-01-15 13:01:08	2	1	2	520000001	1234			21	Viaje irregular
t360287970368466882	87973655939607	52020200	34.31	2021-01-18 22:59:53	2	1	2	520000001	1234			21	Viaje irregular
t360287970380834908	87974216758084	52090100	142.7	2021-02-13 22:17:55	1	7	2	520000001	268			2114	Viaje irregular
t360287970362738691	87973389908679	52090100	65.4	2021-01-05 19:15:49	1	7	2	520000001	268			23	Viaje irregular
t360287970368445497	87973654108679	52090100	30.6	2021-01-18 19:03:47	1	7	2	520000001	266			23	Viaje irregular
t360287970361472163	87973335506250	52250300	27.0	2021-01-02 16:56:37	2	1	2	520000001	1246			21	Viaje irregular
t360287970365563277	87973522192300	52210400	218.75	2021-01-16 10:52:19	2	1	1	520000001	1236			2056	Viaje irregular
t360287970376608173	87974019747004	52090100	10.11	2021-02-10 09:53:16	2	1	2	520000001	716			21	Viaje irregular
t360287970370091632	87973726079499	52190500	43.4	2021-01-22 12:45:57	1	7	2	520000001	264			2114	Viaje irregular
t360287970370554243	87973750248141	52090100	30.0	2021-01-23 14:16:11	1	7	2	520000001	266			2114	Viaje irregular
t360287970367503799	87973610449880	52190500	39.8	2021-01-16 16:06:47	1	7	2	520000001	268			23	Viaje irregular
t360287970372452913	87973831195831	52090100	225.91	2021-02-02 10:02:27	2	1	2	520000001	1236			2032	Viaje irregular
t360287970362801481	87973391148499	52090100	42.8	2021-01-05 20:27:18	1	7	2	520000001	268			23	Viaje irregular
t360287970378043850	87974077409350	52250100	592.6	2021-02-08 15:44:54	2	1	1	520000001	2070			2056	Viaje irregular
t360287970380813574	87974214897333	52090100	22.74	2021-02-13 21:06:56	2	1	2	520000001	2070			21	Viaje irregular
t360287970375036300	87973959222325	52151600	18.0	2021-02-02 16:55:35	1	7	2	520000001	268			2114	Viaje irregular
t360287970379620816	87974157493977	52090100	9.99	2021-02-11 15:36:42	2	1	1	520000001	2070			21	Viaje irregular
t360287970361699791	87973344410090	52090100	37.73	2021-01-03 09:28:04	2	1	1	520000001	2070			21	Viaje irregular
t360287970373901917	87973905925224	52090100	117.11	2021-01-31 03:09:06	2	1	2	520000001	1244			21	Viaje irregular
t360287970377623044	87974075464790	52151600	8297.5	2021-02-07 19:53:58	1	7	2	520000001	266			2114	Viaje irregular
t360287970367982697	87973633063071	52020200	128.0	2021-01-17 16:40:00	1	7	2	520000001	264			23	Viaje irregular
t360287970378903285	87974129875623	52170200	115.53	2021-02-13 11:20:13	2	1	1	520000001	1236			21	Viaje irregular
t360287970364560453	87973474138200	52110500	44.0	2021-01-09 20:31:37	1	7	2	520000001	268			23	Viaje irregular
t360287970369281888	87973689548667	52310300	50.11	2021-01-28 15:19:40	2	1	1	520000001	2070			21	Viaje irregular
t360287970361583764	87973338796005	52080200	39.77	2021-01-02 19:12:52	1	7	2	520000001	268			23	Viaje irregular
t360287970374183284	87973918983181	52020100	85.7	2021-01-31 16:21:22	1	7	2	520000001	268			2114	Viaje irregular
t360287970362065063	87973361905251	52090100	40.65	2021-01-04 09:34:40	2	1	2	520000001	1234			21	Viaje irregular
t360287970371673541	87973802075878	52220400	36.81	2021-01-26 07:14:05	2	1	1	520000001	714			21	Viaje irregular
t360287970368211967	87973645217765	52190500	30.0	2021-01-18 11:07:53	2	1	2	520000001	1246			21	Viaje irregular
t360287970361542443	87973337731263	52080800	38.3	2021-01-02 18:08:04	1	7	2	520000001	268			23	Viaje irregular
t360287970377093437	87974052618796	52090100	28.6	2021-02-06 19:09:40	1	7	2	520000001	266			2114	Viaje irregular
t360287970380744267	87974211912599	52090100	50.9	2021-02-13 18:21:09	1	7	2	520000001	268			2114	Viaje irregular
t360287970369795016	87973713210723	52090100	78.4	2021-01-21 18:45:31	1	7	2	520000001	266			2114	Viaje irregular
t360287970377517152	87974069042311	52280300	86.7	2021-02-07 16:23:25	1	7	2	520000001	266			2114	Viaje irregular
t360287970373860025	87973902609179	52151600	139.11	2021-01-30 22:13:54	1	7	2	520000001	268			2114	Viaje irregular
t360287970377860293	87974087374034	52020100	64.6	2021-02-08 08:07:16	1	7	2	520000001	268			2114	Viaje irregular
